customer_no,timestamp,customer_no,location,day,hour
friday1,2019-09-06 07:00:00,friday1,dairy,friday,07:00-08:00
friday1,2019-09-06 07:01:00,friday1,dairy,friday,07:00-08:00
friday1,2019-09-06 07:02:00,friday1,dairy,friday,07:00-08:00
friday1,2019-09-06 07:03:00,friday1,dairy,friday,07:00-08:00
friday1,2019-09-06 07:04:00,friday1,spices,friday,07:00-08:00
friday1,2019-09-06 07:05:00,friday1,checkout,friday,07:00-08:00
friday10,2019-09-06 07:06:00,friday10,fruit,friday,07:00-08:00
friday10,2019-09-06 07:07:00,friday10,fruit,friday,07:00-08:00
friday10,2019-09-06 07:08:00,friday10,fruit,friday,07:00-08:00
friday10,2019-09-06 07:09:00,friday10,fruit,friday,07:00-08:00
friday10,2019-09-06 07:10:00,friday10,fruit,friday,07:00-08:00
friday10,2019-09-06 07:11:00,friday10,checkout,friday,07:00-08:00
friday100,2019-09-06 08:03:00,friday100,fruit,friday,08:00-09:00
friday100,2019-09-06 08:04:00,friday100,checkout,friday,08:00-09:00
friday1000,2019-09-06 17:19:00,friday1000,fruit,friday,17:00-18:00
friday1000,2019-09-06 17:20:00,friday1000,checkout,friday,17:00-18:00
friday1001,2019-09-06 17:19:00,friday1001,fruit,friday,17:00-18:00
friday1001,2019-09-06 17:20:00,friday1001,fruit,friday,17:00-18:00
friday1001,2019-09-06 17:21:00,friday1001,drinks,friday,17:00-18:00
friday1001,2019-09-06 17:22:00,friday1001,drinks,friday,17:00-18:00
friday1001,2019-09-06 17:23:00,friday1001,spices,friday,17:00-18:00
friday1001,2019-09-06 17:24:00,friday1001,drinks,friday,17:00-18:00
friday1001,2019-09-06 17:25:00,friday1001,drinks,friday,17:00-18:00
friday1001,2019-09-06 17:26:00,friday1001,drinks,friday,17:00-18:00
friday1001,2019-09-06 17:27:00,friday1001,fruit,friday,17:00-18:00
friday1001,2019-09-06 17:28:00,friday1001,fruit,friday,17:00-18:00
friday1001,2019-09-06 17:29:00,friday1001,checkout,friday,17:00-18:00
friday1002,2019-09-06 17:19:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:20:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:21:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:22:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:23:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:24:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:25:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:26:00,friday1002,fruit,friday,17:00-18:00
friday1002,2019-09-06 17:27:00,friday1002,fruit,friday,17:00-18:00
friday1002,2019-09-06 17:28:00,friday1002,dairy,friday,17:00-18:00
friday1002,2019-09-06 17:29:00,friday1002,checkout,friday,17:00-18:00
friday1003,2019-09-06 17:19:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:20:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:21:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:22:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:23:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:24:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:25:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:26:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:27:00,friday1003,dairy,friday,17:00-18:00
friday1003,2019-09-06 17:28:00,friday1003,checkout,friday,17:00-18:00
friday1004,2019-09-06 17:19:00,friday1004,drinks,friday,17:00-18:00
friday1004,2019-09-06 17:20:00,friday1004,spices,friday,17:00-18:00
friday1004,2019-09-06 17:21:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:22:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:23:00,friday1004,fruit,friday,17:00-18:00
friday1004,2019-09-06 17:24:00,friday1004,fruit,friday,17:00-18:00
friday1004,2019-09-06 17:25:00,friday1004,fruit,friday,17:00-18:00
friday1004,2019-09-06 17:26:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:27:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:28:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:29:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:30:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:31:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:32:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:33:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:34:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:35:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:36:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:37:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:38:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:39:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:40:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:41:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:42:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:43:00,friday1004,spices,friday,17:00-18:00
friday1004,2019-09-06 17:44:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:45:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:46:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:47:00,friday1004,dairy,friday,17:00-18:00
friday1004,2019-09-06 17:48:00,friday1004,fruit,friday,17:00-18:00
friday1004,2019-09-06 17:49:00,friday1004,fruit,friday,17:00-18:00
friday1004,2019-09-06 17:50:00,friday1004,fruit,friday,17:00-18:00
friday1004,2019-09-06 17:51:00,friday1004,checkout,friday,17:00-18:00
friday1005,2019-09-06 17:19:00,friday1005,spices,friday,17:00-18:00
friday1005,2019-09-06 17:20:00,friday1005,fruit,friday,17:00-18:00
friday1005,2019-09-06 17:21:00,friday1005,fruit,friday,17:00-18:00
friday1005,2019-09-06 17:22:00,friday1005,fruit,friday,17:00-18:00
friday1005,2019-09-06 17:23:00,friday1005,drinks,friday,17:00-18:00
friday1005,2019-09-06 17:24:00,friday1005,drinks,friday,17:00-18:00
friday1005,2019-09-06 17:25:00,friday1005,drinks,friday,17:00-18:00
friday1005,2019-09-06 17:26:00,friday1005,checkout,friday,17:00-18:00
friday1006,2019-09-06 17:21:00,friday1006,spices,friday,17:00-18:00
friday1006,2019-09-06 17:22:00,friday1006,spices,friday,17:00-18:00
friday1006,2019-09-06 17:23:00,friday1006,drinks,friday,17:00-18:00
friday1006,2019-09-06 17:24:00,friday1006,drinks,friday,17:00-18:00
friday1006,2019-09-06 17:25:00,friday1006,fruit,friday,17:00-18:00
friday1006,2019-09-06 17:26:00,friday1006,dairy,friday,17:00-18:00
friday1006,2019-09-06 17:27:00,friday1006,dairy,friday,17:00-18:00
friday1006,2019-09-06 17:28:00,friday1006,fruit,friday,17:00-18:00
friday1006,2019-09-06 17:29:00,friday1006,checkout,friday,17:00-18:00
friday1007,2019-09-06 17:21:00,friday1007,dairy,friday,17:00-18:00
friday1007,2019-09-06 17:22:00,friday1007,checkout,friday,17:00-18:00
friday1008,2019-09-06 17:21:00,friday1008,fruit,friday,17:00-18:00
friday1008,2019-09-06 17:22:00,friday1008,drinks,friday,17:00-18:00
friday1008,2019-09-06 17:23:00,friday1008,drinks,friday,17:00-18:00
friday1008,2019-09-06 17:24:00,friday1008,drinks,friday,17:00-18:00
friday1008,2019-09-06 17:25:00,friday1008,drinks,friday,17:00-18:00
friday1008,2019-09-06 17:26:00,friday1008,drinks,friday,17:00-18:00
friday1008,2019-09-06 17:27:00,friday1008,drinks,friday,17:00-18:00
friday1008,2019-09-06 17:28:00,friday1008,checkout,friday,17:00-18:00
friday1009,2019-09-06 17:22:00,friday1009,dairy,friday,17:00-18:00
friday1009,2019-09-06 17:23:00,friday1009,dairy,friday,17:00-18:00
friday1009,2019-09-06 17:24:00,friday1009,spices,friday,17:00-18:00
friday1009,2019-09-06 17:25:00,friday1009,spices,friday,17:00-18:00
friday1009,2019-09-06 17:26:00,friday1009,fruit,friday,17:00-18:00
friday1009,2019-09-06 17:27:00,friday1009,fruit,friday,17:00-18:00
friday1009,2019-09-06 17:28:00,friday1009,dairy,friday,17:00-18:00
friday1009,2019-09-06 17:29:00,friday1009,dairy,friday,17:00-18:00
friday1009,2019-09-06 17:30:00,friday1009,checkout,friday,17:00-18:00
friday101,2019-09-06 08:03:00,friday101,dairy,friday,08:00-09:00
friday101,2019-09-06 08:04:00,friday101,dairy,friday,08:00-09:00
friday101,2019-09-06 08:05:00,friday101,dairy,friday,08:00-09:00
friday101,2019-09-06 08:06:00,friday101,dairy,friday,08:00-09:00
friday101,2019-09-06 08:07:00,friday101,checkout,friday,08:00-09:00
friday1010,2019-09-06 17:23:00,friday1010,fruit,friday,17:00-18:00
friday1010,2019-09-06 17:24:00,friday1010,drinks,friday,17:00-18:00
friday1010,2019-09-06 17:25:00,friday1010,drinks,friday,17:00-18:00
friday1010,2019-09-06 17:26:00,friday1010,drinks,friday,17:00-18:00
friday1010,2019-09-06 17:27:00,friday1010,dairy,friday,17:00-18:00
friday1010,2019-09-06 17:28:00,friday1010,drinks,friday,17:00-18:00
friday1010,2019-09-06 17:29:00,friday1010,checkout,friday,17:00-18:00
friday1011,2019-09-06 17:23:00,friday1011,fruit,friday,17:00-18:00
friday1011,2019-09-06 17:24:00,friday1011,dairy,friday,17:00-18:00
friday1011,2019-09-06 17:25:00,friday1011,drinks,friday,17:00-18:00
friday1011,2019-09-06 17:26:00,friday1011,drinks,friday,17:00-18:00
friday1011,2019-09-06 17:27:00,friday1011,fruit,friday,17:00-18:00
friday1011,2019-09-06 17:28:00,friday1011,drinks,friday,17:00-18:00
friday1011,2019-09-06 17:29:00,friday1011,checkout,friday,17:00-18:00
friday1012,2019-09-06 17:24:00,friday1012,fruit,friday,17:00-18:00
friday1012,2019-09-06 17:25:00,friday1012,fruit,friday,17:00-18:00
